nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
campinas,São Paulo,Sim,0.99980325
curitiba,Paraná,Não,0.9995474
florianópolis,Santa Catarina,Sim,0.9995216
são paulo,São Paulo,Sim,0.9994406
belo horizonte,Minas Gerais,Sim,0.99942845
brasília,Distrito Federal,Sim,0.9992544
goiânia,Goiás,Sim,0.99917835
recife,Pernambuco,Sim,0.99901354
porto alegre,Rio Grande do Sul,Sim,0.9988059
balneário camboriú,Santa Catarina,Sim,0.99867994
joão pessoa,Paraíba,Sim,0.9986413
uberlândia,Minas Gerais,Sim,0.9985336
são josé dos campos,São Paulo,Sim,0.99790096
bragança paulista,São Paulo,Sim,0.9976829
são bernardo do campo,São Paulo,Sim,0.99766004
santo andré,São Paulo,Sim,0.9975198
campo limpo paulista,São Paulo,Sim,0.9972796
anápolis,Goiás,Sim,0.9972363
itajaí,Santa Catarina,Sim,0.99712
nilópolis,Rio de Janeiro,Sim,0.9970789
santos,São Paulo,Sim,0.99703753
assis,São Paulo,Sim,0.9966421
osasco,São Paulo,Sim,0.9964965
americana,São Paulo,Sim,0.99524313
petrolina,Pernambuco,Sim,0.9947779
rio de janeiro,Rio de Janeiro,Sim,0.99433976
barretos,São Paulo,Sim,0.9924165
campo grande,Mato Grosso do Sul,Sim,0.9915565
toledo,Paraná,Sim,0.98933077
londrina,Paraná,Sim,0.9891418
joinville,Santa Catarina,Sim,0.98765045
itabira,Minas Gerais,Sim,0.9845061
são carlos,São Paulo,Sim,0.980037
pinheiral,Rio de Janeiro,Sim,0.96484137
carlos barbosa,Rio Grande do Sul,Sim,0.9623844
capinzal,Santa Catarina,Sim,0.95085347
araras,São Paulo,Não,0.9319679
salvador,Bahia,Não,0.8959418
taubaté,São Paulo,Não,0.8386175
varginha,Minas Gerais,Não,0.7313868
jundiaí,São Paulo,Não,0.7290579
juiz de fora,Minas Gerais,Não,0.60426855
pindamonhangaba,São Paulo,Não,0.5723377
monte mor,São Paulo,Sim,0.5395357
olinda,Pernambuco,Não,0.4805829
araxá,Minas Gerais,Não,0.30541366
capivari de baixo,Santa Catarina,Não,0.24123119
cotia,São Paulo,Não,0.21522518
blumenau,Santa Catarina,Não,0.21186908
paulista,Pernambuco,Não,0.21180569
araguari,Minas Gerais,Não,0.18138137
conselheiro lafaiete,Minas Gerais,Não,0.11575504
passo fundo,Rio Grande do Sul,Não,0.1150345
paranavaí,Paraná,Não,0.10991343
niterói,Rio de Janeiro,Não,0.07339393
vitória,Espírito Santo,Não,0.06497984
catanduva,São Paulo,Não,0.0640591
ourinhos,São Paulo,Não,0.062943295
votuporanga,São Paulo,Não,0.06007148
valinhos,São Paulo,Não,0.057490323
flores da cunha,Rio Grande do Sul,Não,0.0543369
são caetano do sul,São Paulo,Não,0.047636263
rio claro,São Paulo,Não,0.0464764
imperatriz,Maranhão,Não,0.04553831
são josé da lapa,Minas Gerais,Não,0.044823233
estrela,Rio Grande do Sul,Não,0.044321883
jacareí,São Paulo,Não,0.04267492
charqueadas,Rio Grande do Sul,Não,0.042253733
vila velha,Espírito Santo,Não,0.03722456
sorocaba,São Paulo,Não,0.035487384
mossoró,Rio Grande do Norte,Não,0.033991095
gravataí,Rio Grande do Sul,Não,0.03311405
fortaleza,Ceará,Não,0.032864295
