nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
campinas,São Paulo,Sim,0.990745501285347
palmas,Tocantins,Não,0.990745501285347
são caetano do sul,São Paulo,Não,0.990745501285347
são carlos,São Paulo,Sim,0.990745501285347
belém,Pará,Não,0.990745501285347
são josé dos campos,São Paulo,Sim,0.990745501285347
são paulo,São Paulo,Sim,0.990745501285347
assis,São Paulo,Sim,0.990745501285347
ilha solteira,São Paulo,Não,0.990745501285347
cuiabá,Mato Grosso,Não,0.990745501285347
campo grande,Mato Grosso do Sul,Sim,0.990745501285347
araraquara,São Paulo,Não,0.990745501285347
taubaté,São Paulo,Não,0.990745501285347
nilópolis,Rio de Janeiro,Sim,0.990745501285347
vitória,Espírito Santo,Não,0.990745501285347
niterói,Rio de Janeiro,Não,0.990745501285347
são bernardo do campo,São Paulo,Sim,0.990745501285347
florianópolis,Santa Catarina,Sim,0.990745501285347
vila velha,Espírito Santo,Não,0.990745501285347
marília,São Paulo,Não,0.990745501285347
aracaju,Sergipe,Não,0.990745501285347
joão pessoa,Paraíba,Sim,0.990745501285347
rio de janeiro,Rio de Janeiro,Sim,0.990745501285347
são luís,Maranhão,Não,0.990745501285347
manaus,Amazonas,Não,0.990745501285347
recife,Pernambuco,Sim,0.990745501285347
curitiba,Paraná,Não,0.990745501285347
serra do navio,Amapá,Não,0.990745501285347
joaçaba,Santa Catarina,Não,0.990745501285347
natal,Rio Grande do Norte,Não,0.990745501285347
brasília,Distrito Federal,Sim,0.990745501285347
são josé,Santa Catarina,Não,0.990745501285347
santos,São Paulo,Sim,0.990745501285347
belo horizonte,Minas Gerais,Sim,0.990745501285347
porto alegre,Rio Grande do Sul,Sim,0.990745501285347
balneário camboriú,Santa Catarina,Sim,0.990745501285347
poá,São Paulo,Não,0.990745501285347
goiânia,Goiás,Sim,0.990745501285347
presidente prudente,São Paulo,Não,0.990745501285347
paulínia,São Paulo,Não,0.990745501285347
lauro de freitas,Bahia,Não,0.990745501285347
ribeirão preto,São Paulo,Não,0.990745501285347
