nomeLocalidade;estado;Cidade tem Aluno;Probabilidade
mogi das cruzes;São Paulo;Não;1
são carlos;São Paulo;Sim;1
belo horizonte;Minas Gerais;Sim;1
belém;Pará;Não;1
maringá;Paraná;Não;1
santa maria;Rio Grande do Sul;Não;1
são luís;Maranhão;Não;1
são paulo;São Paulo;Sim;1
paulínia;São Paulo;Não;1
aparecida;São Paulo;Não;1
campinas;São Paulo;Sim;1
ribeirão preto;São Paulo;Não;1
volta redonda;Rio de Janeiro;Não;1
aracaju;Sergipe;Não;1
indaiatuba;São Paulo;Não;1
jundiaí;São Paulo;Não;1
rio claro;São Paulo;Não;1
são josé dos campos;São Paulo;Sim;1
cuiabá;Mato Grosso;Não;1
são vicente;São Paulo;Não;1
ilha solteira;São Paulo;Não;1
são caetano do sul;São Paulo;Não;1
são josé;Santa Catarina;Não;1
americana;São Paulo;Sim;1
pindamonhangaba;São Paulo;Não;1
teresina;Piauí;Não;1
são bernardo do campo;São Paulo;Sim;1
recife;Pernambuco;Sim;1
alumínio;São Paulo;Não;1
assis;São Paulo;Sim;1
brasília;Distrito Federal;Sim;1
rio de janeiro;Rio de Janeiro;Sim;1
fortaleza;Ceará;Não;1
botucatu;São Paulo;Não;1
timóteo;Minas Gerais;Não;1
palmas;Tocantins;Não;1
salvador;Bahia;Não;1
cruzália;São Paulo;Não;1
cotia;São Paulo;Não;1
joinville;Santa Catarina;Sim;1
jaguariúna;São Paulo;Não;1
joaçaba;Santa Catarina;Não;1
serra do navio;Amapá;Não;1
santana;Amapá;Não;1
londrina;Paraná;Sim;1
curitiba;Paraná;Não;1
oriente;São Paulo;Não;1
ananindeua;Pará;Não;1
jacareí;São Paulo;Não;1
macapá;Amapá;Não;1
nova lima;Minas Gerais;Não;1
cachoeirinha;Rio Grande do Sul;Não;1
montes claros;Minas Gerais;Não;1
goiânia;Goiás;Sim;1
pedro afonso;Tocantins;Não;1
araguaína;Tocantins;Não;1
cornélio procópio;Paraná;Não;1
araraquara;São Paulo;Não;1
caçapava;São Paulo;Não;1
valparaíso de goiás;Goiás;Não;1
cachoeira paulista;São Paulo;Não;1
paraíso do tocantins;Tocantins;Não;1
boa vista;Roraima;Não;1
taubaté;São Paulo;Não;1
cruzeiro;São Paulo;Não;1
piquete;São Paulo;Não;1
santos;São Paulo;Sim;1
florianópolis;Santa Catarina;Sim;1
são josé de ribamar;Maranhão;Não;1
floreal;São Paulo;Não;1
vitória;Espírito Santo;Não;1
vila velha;Espírito Santo;Não;1
itajubá;Minas Gerais;Não;1
presidente prudente;São Paulo;Não;1
macaé;Rio de Janeiro;Não;1
passo fundo;Rio Grande do Sul;Não;1
porto velho;Rondônia;Não;1
parnamirim;Rio Grande do Norte;Não;1
madre de deus;Bahia;Não;1
maricá;Rio de Janeiro;Não;1
lauro de freitas;Bahia;Não;1
mesquita;Rio de Janeiro;Não;1
santana de parnaíba;São Paulo;Não;1
nilópolis;Rio de Janeiro;Sim;1
niterói;Rio de Janeiro;Não;1
águas de são pedro;São Paulo;Não;1
rio branco;Acre;Não;1
valinhos;São Paulo;Não;1
joão pessoa;Paraíba;Sim;1
barra do garças;Mato Grosso;Não;1
santo andré;São Paulo;Sim;1
porto alegre;Rio Grande do Sul;Sim;1
paço do lumiar;Maranhão;Não;1
marília;São Paulo;Não;1
adamantina;São Paulo;Não;1
bauru;São Paulo;Não;1
sorocaba;São Paulo;Não;1
resende;Rio de Janeiro;Não;1
guaratinguetá;São Paulo;Não;1
ribeirão pires;São Paulo;Não;1
uberlândia;Minas Gerais;Sim;1
olinda;Pernambuco;Não;1
pirassununga;São Paulo;Não;1
são josé do rio preto;São Paulo;Não;1
barretos;São Paulo;Sim;1
cruz das almas;Bahia;Não;1
paulista;Pernambuco;Não;1
natal;Rio Grande do Norte;Não;1
rio das ostras;Rio de Janeiro;Não;1
vinhedo;São Paulo;Não;1
lins;São Paulo;Não;1
manaus;Amazonas;Não;1
poá;São Paulo;Não;1
arraial do cabo;Rio de Janeiro;Não;1
lorena;São Paulo;Não;1
juiz de fora;Minas Gerais;Não;1
gurupi;Tocantins;Não;1
campo grande;Mato Grosso do Sul;Sim;1
balneário camboriú;Santa Catarina;Sim;1
pontes e lacerda;Mato Grosso;Não;0,666666667
linhares;Espírito Santo;Não;0,666666667
ivaiporã;Paraná;Não;0,666666667
dois córregos;São Paulo;Não;0,666666667
jaru;Rondônia;Não;0,666666667
jaguariaíva;Paraná;Não;0,666666667
sapiranga;Rio Grande do Sul;Não;0,666666667
primavera do leste;Mato Grosso;Não;0,666666667
arcoverde;Pernambuco;Não;0,666666667
campina grande;Paraíba;Não;0,666666667
cacoal;Rondônia;Não;0,666666667
posse;Goiás;Não;0,666666667
irati;Paraná;Não;0,666666667
peritiba;Santa Catarina;Não;0,666666667
rio verde;Goiás;Não;0,666666667
ariquemes;Rondônia;Não;0,666666667
colinas do tocantins;Tocantins;Não;0,666666667
ponte serrada;Santa Catarina;Não;0,666666667
laranjeiras do sul;Paraná;Não;0,666666667
juazeiro;Bahia;Não;0,666666667
capão da canoa;Rio Grande do Sul;Não;0,666666667
santo augusto;Rio Grande do Sul;Não;0,666666667
barueri;São Paulo;Não;0,666666667
barreiras;Bahia;Não;0,666666667
rondonópolis;Mato Grosso;Não;0,666666667
esperança;Paraíba;Não;0,666666667
itapeva;São Paulo;Não;0,666666667
arujá;São Paulo;Não;0,666666667
rio do sul;Santa Catarina;Não;0,666666667
imperatriz;Maranhão;Não;0,666666667
bonito;Mato Grosso do Sul;Não;0,666666667
itabuna;Bahia;Não;0,666666667
paranaguá;Paraná;Não;0,666666667
vitória da conquista;Bahia;Não;0,666666667
irecê;Bahia;Não;0,666666667
tramandaí;Rio Grande do Sul;Não;0,666666667
são gabriel do oeste;Mato Grosso do Sul;Não;0,666666667
eunápolis;Bahia;Não;0,666666667
