nomeLocalidade;estado;Cidade tem Aluno;Probabilidade;População residente;Densidade demográfica;Porcentagem de Jovens;Porcentagem de Ativos;Porcentagem de Idosos;Taxa de Urbanização;Taxa de Saneamento Básico;Ativos com Baixo Nível Educacional;Ativos com Médio Nível Educacional;Ativos com Alto Nível Educacional;Percentual de estrangeiros ao total de Trabalhadores;PIB Municipal;Estudantes Ensino primário;Estudantes Ensino secundário;Estudantes Ensino superior;Óbitos até 1 ano de idade por milhares de habitantes;Óbitos por milhares de habitantes;Nascidos por milhares de habitantes;Hospitais por milhares de habitantes;Médicos por milhares de habitantes;% de pobres;IDH;Percentual de trabalhadores especializados;Valores de Importação por 10,000 habitantes;Valores de Exportação por 10,000 habitantes;Número de hotéis por 10,000 habitantes;Percentual de empresas do setor primário em relação ao total;Percentual de empresas do setor secundário em relação ao total;Percentual de empresas do setor terciário em relação ao total;Percentual de trabalhadores do setor primário em relação ao total;Percentual de trabalhadores do setor secundário em relação ao total;Percentual de trabalhadores do setor terciário em relação ao total;Média Salarial;Produtividade;Taxa de desemprego dos jovens;Taxa de desemprego;Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes;Número de ativos culturais e de lazer por 10,000 habitantes
campinas;São Paulo;Sim;0,99980325;0,77963555;1,8425674;0,42694694;0,5286745;0,02044341;-0,008227786;0,2352883;0,3785548;-0,27225316;0,6567779;0,525646;0,93332744;0,3378976;0,4230189;1,9385437;-0,54941183;-0,055887412;0,76234686;0,6612728;0,12565506;0,05349699;-0,12006602;0,9758954;-0,38365898;-0,12041504;0,05740811;-0,63984275;-0,15568244;-0,36032918;-0,2635896;-0,003798345;-0,3072393;0,7880679;0,16102608;0,014941273;-0,081430376;-0,19077475;0,12845497
curitiba;Paraná;Não;0,9995474;0,7723165;1,6655482;0,16472887;0,5598401;0,033487197;-0,71533513;-0,30282512;0,46482536;0,44097292;0,76519114;0,31726232;0,97356176;0,1909562;0,4203639;1,9124273;-0,25091055;-0,026452493;0,69820535;1,022996;0,14606489;0,11164094;-0,11258158;0,69963634;-0,23376058;-0,13887653;0,094434515;-0,66655827;-0,021449048;-0,32466507;-0,7042514;0,010339611;-0,3039486;0,6029616;0,156573;0,033542108;0,038411554;-0,20518254;0,120467484
florianópolis;Santa Catarina;Sim;0,9995216;0,25401267;1,1372517;0,4921263;0,55830187;-0,022210518;0,29217228;0,24623352;0,08022279;0,48885685;0,6365264;0,06509585;0,8498904;0,01383749;0,40524942;1,699185;0,07890415;0,043254476;0,7081841;1,1487402;0,08429515;0,17842609;0,6510381;0,64806473;-0,14795326;0,18510865;-0,31190652;-0,7042487;-0,07306367;-0,38327834;-0,75870925;0,0022716774;-0,3315938;0,5300024;0,057528347;0,04811893;0,024876632;-0,19353136;-0,32701728
são paulo;São Paulo;Sim;0,9994406;0,8638529;2,2578084;0,15394457;0,47804117;0,057416297;-0,06382126;-0,45112565;0,44605342;-0,31410283;0,6427332;0,42271882;0,83123946;0,37560594;0,41025522;2,052262;-0,23493288;-0,015895262;0,62778145;-0,52906793;0,20566972;0,12788574;-0,10833546;1,0455859;-0,19656385;-0,065198064;0,07391379;-0,5831614;0,029227413;-0,34350517;-0,6118191;0,042267695;-0,2937258;0,76651007;0,13918102;0,018905943;0,061071318;-0,27444702;0,15363072
belo horizonte;Minas Gerais;Sim;0,99942845;0,87313575;1,7770197;0,45289472;0,55840355;0,018548518;-0,6197052;-0,38587606;0,46700943;0,5423324;0,7077502;0,28595185;0,8573498;0,25680208;0,4827477;1,8629075;-0,4672605;-0,44226125;0,29220787;0,87658983;0,06873507;0,13387866;-0,09234815;0,6420968;0,32444373;0,16698506;0,09846291;0,232765;-0,049154203;-0,4266252;-0,71899253;0,008967054;-0,28858283;0,25133562;0,03632717;0,013147535;-0,09513429;-0,20807596;-0,3183798
brasília;Distrito Federal;Sim;0,9992544;0,70196676;1,0510464;-0,60968274;0,38948458;-0,5013312;0,21090142;0,2456368;0,4326959;0,53051996;0,5278243;-0,7607662;1,0008135;0,39790428;0,4152844;1,7778143;-0,23243892;0,21757434;0,5126486;0,8012243;0,037997644;0,08703771;0,3647338;1,0258646;-0,103334196;0,052363563;0,0914632;-0,46801662;-0,047759224;-0,49324605;-0,3537088;0,09245045;-0,063870326;0,531719;0,04131931;0,07521557;0,14131528;-0,21121818;0,0009406803
goiânia;Goiás;Sim;0,99917835;0,55944943;1,6275878;0,20266683;0,3773381;0,04240219;-0,10585961;0,45766652;0,40214452;0,4628094;0,6033865;-0,49421144;0,82346255;0,36135292;0,43630362;1,5827645;-0,21341066;-0,58774537;0,72437686;0,7091194;-0,13748881;-0,0214497;-0,48843217;1,0366515;-0,12991387;0,05908552;0,101077124;-0,11273203;0,072344735;0,3782996;-0,34705335;0,00997769;0,05347762;-0,3136543;0,0005837376;0,02505329;-0,12250483;-0,28901175;0,06728072
recife;Pernambuco;Sim;0,99901354;0,7252793;2,000093;0,23877023;0,52780175;0,047952987;-0,60993165;0,2785547;0,4634392;0,44004682;0,69640034;0,49628562;0,8880798;0,2941909;0,38672507;1,6860181;-0,22631;-0,49163187;0,6451649;0,5807579;0,16697602;-0,25879386;-0,09656009;0,70564616;0,19659011;0,18811895;0,0793605;-0,6354529;-0,01202924;-0,4638843;-0,34481773;0,009880672;-0,33349892;-0,17893688;0,043498248;-0,416166;0,03173371;-0,2525373;0,13344164
porto alegre;Rio Grande do Sul;Sim;0,9988059;0,88553613;1,6701642;0,47698063;0,40104586;-0,026487956;-0,62799466;0,17775263;0,41168562;-0,11083988;0,6933127;0,11094493;1,0502619;0,28447422;0,47432968;1,7809137;-0,29384318;-0,65956974;0,6443358;0,9888784;0,09889625;0,12746602;-0,07915437;0,7340292;0,102761395;-0,21907914;0,040189825;-0,61459047;0,021096662;-0,3192348;-0,6520877;-0,013313381;-0,33754277;0,69096714;0,14327556;0,010082388;-0,003944611;-0,20435819;-0,41840968
balneário camboriú;Santa Catarina;Sim;0,99867994;0,067224585;1,6327828;0,45076868;0,52888244;0,13051559;-0,5417243;0,20136799;0,5865464;-0,37221408;0,69855875;0,47107595;1,4140586;-0,04338595;-0,039089203;1,3486845;0,8149584;0,051280078;0,6919293;1,2370056;-0,06945628;0,15566829;0,7919922;-0,49900907;0,2579261;0,36489695;-0,19342117;-0,8136152;0,025419991;-0,19618401;-0,64322275;-0,023043102;-0,36879033;-0,37234396;0,094420664;0,033402935;0,020390538;-0,23932403;-0,31635478
