nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
timbó,Santa Catarina,Não,1.0
araucária,Paraná,Não,1.0
garibaldi,Rio Grande do Sul,Não,1.0
monte mor,São Paulo,Sim,1.0
pinheiral,Rio de Janeiro,Sim,1.0
angra dos reis,Rio de Janeiro,Não,1.0
monte alto,São Paulo,Não,1.0
flores da cunha,Rio Grande do Sul,Não,1.0
rolândia,Paraná,Não,1.0
carlos barbosa,Rio Grande do Sul,Sim,1.0
porto alegre,Rio Grande do Sul,Sim,0.9995921696574225
uberlândia,Minas Gerais,Sim,0.9995921696574225
santo andré,São Paulo,Sim,0.9995921696574225
rio de janeiro,Rio de Janeiro,Sim,0.9995921696574225
santos,São Paulo,Sim,0.9995921696574225
ribeirão preto,São Paulo,Não,0.9995921696574225
recife,Pernambuco,Sim,0.9995921696574225
londrina,Paraná,Sim,0.9995921696574225
belo horizonte,Minas Gerais,Sim,0.9995921696574225
são bernardo do campo,São Paulo,Sim,0.9995921696574225
brasília,Distrito Federal,Sim,0.9995921696574225
são paulo,São Paulo,Sim,0.9995921696574225
florianópolis,Santa Catarina,Sim,0.9995921696574225
campinas,São Paulo,Sim,0.9995921696574225
curitiba,Paraná,Não,0.9995921696574225
campo grande,Mato Grosso do Sul,Sim,0.9995921696574225
osasco,São Paulo,Sim,0.9995921696574225
juiz de fora,Minas Gerais,Não,0.9995921696574225
joão pessoa,Paraíba,Sim,0.9995921696574225
goiânia,Goiás,Sim,0.9995921696574225
poços de caldas,Minas Gerais,Não,0.9847389558232932
araçatuba,São Paulo,Não,0.9847389558232932
itajaí,Santa Catarina,Sim,0.9847389558232932
balneário camboriú,Santa Catarina,Sim,0.9847389558232932
piracicaba,São Paulo,Não,0.9847389558232932
cascavel,Paraná,Não,0.9847389558232932
taubaté,São Paulo,Não,0.9847389558232932
guarujá,São Paulo,Não,0.9847389558232932
bebedouro,São Paulo,Não,0.9847389558232932
bauru,São Paulo,Não,0.9847389558232932
nilópolis,Rio de Janeiro,Sim,0.9847389558232932
