restaurante,categoria,pedidos
1,CAT_A,564
2,CAT_A,3656
3,CAT_B,741
4,CAT_A,869
5,CAT_A,117
6,CAT_B,54
7,CAT_A,71
8,CAT_A,1412
9,CAT_A,772
10,CAT_A,12
11,CAT_B,354
12,CAT_B,157
13,CAT_B,255
14,CAT_A,168
15,CAT_A,296
16,CAT_B,17
17,CAT_A,25
18,CAT_B,17
19,CAT_A,47
20,CAT_A,22
21,CAT_A,912
22,CAT_A,695
23,CAT_B,29
24,CAT_B,396
25,CAT_B,919
26,CAT_A,220
27,CAT_B,251
28,CAT_A,54
29,CAT_A,5939
30,CAT_B,374
31,CAT_B,725
32,CAT_A,7
33,CAT_A,2994
34,CAT_A,1759
35,CAT_B,98
36,CAT_B,1081
37,CAT_A,3465
38,CAT_A,280
39,CAT_A,271
40,CAT_A,486
41,CAT_B,700
42,CAT_A,910
43,CAT_A,1271
44,CAT_A,316
45,CAT_B,34
46,CAT_A,394
47,CAT_A,1909
48,CAT_B,65
49,CAT_B,39
50,CAT_B,479
51,CAT_A,81
52,CAT_A,2228
53,CAT_B,14
54,CAT_B,34
55,CAT_B,27
56,CAT_B,41
57,CAT_B,89
58,CAT_A,1223
59,CAT_B,344
60,CAT_A,318
61,CAT_A,3733
62,CAT_A,633
63,CAT_B,10
64,CAT_A,65
65,CAT_A,14
66,CAT_A,20
67,CAT_B,275
68,CAT_A,2487
69,CAT_B,982
70,CAT_A,106
71,CAT_A,3113
72,CAT_A,3285
73,CAT_A,1923
74,CAT_B,515
75,CAT_B,498
76,CAT_B,286
77,CAT_A,110
78,CAT_B,371
79,CAT_B,299
80,CAT_A,344
81,CAT_B,175
82,CAT_B,92
83,CAT_B,44
84,CAT_B,1404
85,CAT_B,54
86,CAT_B,48
87,CAT_B,7
88,CAT_B,99
89,CAT_B,101
90,CAT_A,1876
91,CAT_B,1091
92,CAT_A,745
93,CAT_B,694
94,CAT_A,495
95,CAT_B,23
96,CAT_B,252
97,CAT_B,106
98,CAT_A,43
99,CAT_A,583
100,CAT_A,211
101,CAT_B,680
102,CAT_B,619
103,CAT_B,968
104,CAT_B,30
105,CAT_A,106
106,CAT_A,1143
107,CAT_A,6191
108,CAT_B,1359
109,CAT_B,408
110,CAT_A,2677
111,CAT_A,11023
112,CAT_B,344
113,CAT_A,1082
114,CAT_B,1799
115,CAT_B,1374
116,CAT_B,678
117,CAT_A,230
118,CAT_A,313
119,CAT_B,271
120,CAT_A,489
121,CAT_B,1311
122,CAT_B,274
123,CAT_A,627
124,CAT_A,509
125,CAT_A,1544
126,CAT_B,1148
127,CAT_B,90
128,CAT_B,1567
129,CAT_B,428
130,CAT_A,1409
131,CAT_B,1442
132,CAT_B,481
133,CAT_A,163
134,CAT_B,347
135,CAT_B,107
136,CAT_A,24
137,CAT_A,6
138,CAT_B,1
139,CAT_B,226
140,CAT_A,8115
141,CAT_A,3495
142,CAT_A,1108
143,CAT_A,4801
144,CAT_A,1510
145,CAT_A,741
146,CAT_A,311
147,CAT_A,617
148,CAT_A,389
149,CAT_B,1393
150,CAT_A,2909
151,CAT_A,458
152,CAT_A,845
153,CAT_B,64
154,CAT_B,1116
155,CAT_B,34
156,CAT_A,363
157,CAT_A,236
158,CAT_B,359
159,CAT_A,12
160,CAT_B,3337
161,CAT_A,604
162,CAT_A,427
163,CAT_A,391
164,CAT_B,494
165,CAT_B,669
166,CAT_B,80
167,CAT_A,1884
168,CAT_B,396
169,CAT_B,39
170,CAT_B,656
171,CAT_B,521
172,CAT_B,121
173,CAT_A,414
174,CAT_A,6
175,CAT_A,17
176,CAT_B,1670
177,CAT_A,64
178,CAT_A,1
179,CAT_B,8
180,CAT_B,7
181,CAT_A,612
182,CAT_A,4885
183,CAT_A,1522
184,CAT_B,1052
185,CAT_A,2222
186,CAT_A,955
187,CAT_A,1480
188,CAT_A,2730
189,CAT_A,6277
190,CAT_A,2800
191,CAT_A,95
192,CAT_A,896
193,CAT_A,271
194,CAT_A,69
195,CAT_A,83
196,CAT_B,1044
197,CAT_B,1041
198,CAT_B,28
199,CAT_B,254
200,CAT_A,859
201,CAT_A,353
202,CAT_A,164
203,CAT_B,590
204,CAT_B,863
205,CAT_A,79
206,CAT_B,36
207,CAT_B,155
208,CAT_A,4885
209,CAT_B,495
210,CAT_B,5
211,CAT_B,134
212,CAT_B,31
213,CAT_A,13
214,CAT_B,86
